특허명,출원일자,등록일자,출원국
"무선 시스템의 조정자 장치, 소스 장치 및 릴레이 장치의 통신 방법 및 프레임 구조",2012-09-11,2019-06-19,영국
"무선 시스템의 조정자 장치, 소스 장치 및 릴레이 장치의 통신 방법 및 프레임 구조",2019-06-12,2020-12-16,영국
"무선 시스템의 조정자 장치, 소스 장치 및 릴레이 장치의 통신 방법 및 프레임 구조",2012-09-11,2015-10-02,일본
"무선 시스템의 조정자 장치, 소스 장치 및 릴레이 장치의 통신 방법 및 프레임 구조",2015-05-07,2017-02-10,일본
"무선 시스템의 조정자 장치, 소스 장치 및 릴레이 장치의 통신 방법 및 프레임 구조",2011-03-11,2017-06-30,대한민국
"무선 시스템의 조정자 장치, 소스 장치 및 릴레이 장치의 통신 방법 및 프레임 구조",2017-06-30,2018-09-04,대한민국
"무선 시스템의 조정자 장치, 소스 장치 및 릴레이 장치의 통신 방법 및 프레임 구조",2018-09-04,2019-06-21,대한민국
"무선 시스템의 조정자 장치, 소스 장치 및 릴레이 장치의 통신 방법 및 프레임 구조",2019-06-21,2020-05-12,대한민국
"무선 시스템의 조정자 장치, 소스 장치 및 릴레이 장치의 통신 방법 및 프레임 구조",2012-09-11,2015-09-01,미국
"무선 시스템의 조정자 장치, 소스 장치 및 릴레이 장치의 통신 방법 및 프레임 구조",2015-08-31,2018-02-27,미국
"소스 장치, 데스티네이션 장치 및 릴레이 장치의 통신 방법",2012-09-06,2016-08-17,중국
"소스 장치, 데스티네이션 장치 및 릴레이 장치의 통신 방법",2019-01-02,2021-12-22,독일
"소스 장치, 데스티네이션 장치 및 릴레이 장치의 통신 방법",2019-01-02,2021-12-22,영국
"소스 장치, 데스티네이션 장치 및 릴레이 장치의 통신 방법",2012-08-06,2015-08-07,일본
"소스 장치, 데스티네이션 장치 및 릴레이 장치의 통신 방법",2015-04-06,2016-08-26,일본
"소스 장치, 데스티네이션 장치 및 릴레이 장치의 통신 방법",2015-10-21,2017-08-18,일본
"소스 장치, 데스티네이션 장치 및 릴레이 장치의 통신 방법",2017-08-10,2018-12-14,일본
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2012-12-28,2018-08-01,독일
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2018-05-28,2021-07-28,독일
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2012-12-28,2018-08-01,스페인
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2018-05-28,2021-07-28,스페인
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2012-12-28,2018-08-01,핀란드
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2012-12-28,2018-08-01,프랑스
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2018-05-28,2021-07-28,프랑스
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2012-12-28,2018-08-01,영국
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2018-05-28,2021-07-28,영국
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2018-05-28,2021-07-28,헝가리
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2012-12-28,2018-08-01,이탈리아
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2018-05-28,2021-07-28,이탈리아
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2015-04-10,2017-06-23,일본
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2017-02-27,2018-02-23,일본
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2018-02-09,2019-12-27,일본
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2018-02-09,2019-11-15,일본
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2018-02-09,2019-12-06,일본
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2018-02-09,2019-11-15,일본
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2018-02-09,2019-11-22,일본
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2011-08-17,2015-12-24,대한민국
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2015-01-08,2016-08-17,대한민국
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2016-08-05,2017-10-23,대한민국
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2017-10-23,2018-08-30,대한민국
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2012-12-28,2018-08-01,NETHERLAND
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2018-05-28,2021-07-28,폴란드
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2018-05-28,2021-07-28,SLOVAKIA
적응적 송신 편파 제어를 이용한 무선 통신 방법 및 장치,2012-05-31,2019-06-03,대한민국
상대 위상 및 진폭 오차를 동시에 검출할 수 있는 보정회로 및 이를 포함한 다중입출력 증폭기,2012-06-13,2013-11-19,미국
통신망 선택 장치 및 방법,2011-12-15,2016-11-15,대한민국
인트라 예측 방법 및 그 장치,2011-12-13,2020-03-02,대한민국
인트라 예측 방법 및 그 장치,2020-03-02,2021-08-04,대한민국
인트라 예측 방법 및 그 장치,2021-08-04,2021-11-17,대한민국
인트라 예측 방법 및 그 장치,2021-11-17,2022-09-06,대한민국
인트라 예측 방법 및 그 장치,2013-06-03,2016-10-04,미국
가중치 기반 방향성 예측 부/복호화 방법 및 그 장치,2016-09-14,2020-10-20,미국
가중치 기반 방향성 예측 부/복호화 방법 및 그 장치,2020-09-15,2022-05-17,미국
연속어 음성인식 시스템에서 언어모델의 고유 명사 추가 장치 및 방법,2011-08-10,2014-04-17,대한민국
온도 연기 복합 경보장치 및 그에 구비되는 연기 센서,2011-12-20,2017-08-29,대한민국
차량 위치 인식 장치 및 방법,2011-12-14,2017-01-31,대한민국
차량 위치 인식 장치 및 방법,2012-08-31,2015-07-28,미국
토폴로지 설정이 가능한 DC-DC 컨버터 장치,2011-08-02,2017-06-14,대한민국
광검출기,2012-07-27,2013-12-10,미국
유기발광다이오드 및 그의 제조방법,2011-09-06,2018-06-21,대한민국
유기전계발광소자 기판용 나노구조물 제조방법랜덤 나노패턴을 사용하여 내부광추출을 향상시킨 유기전계발광소자,2014-02-19,2015-03-31,미국
지능형 카메라 협업 기반 주차관리 시스템,2012-08-02,2015-07-07,미국
분산안테나 무선통신시스템,2013-12-06,2017-07-18,미국
무선 통신 시스템에서 제어 정보를 전송하는 방법,2013-12-17,2019-09-18,독일
폭증 데이터 스트림 처리 방법 및 장치,2011-07-18,2017-06-26,대한민국
무선 통신 시스템에서 제어 정보를 전송하는 방법,2019-07-08,2022-02-09,독일
화면내 예측 블록 경계 필터링을 이용한 부호화/복호화 방법 및 그 장치,2012-06-20,2017-05-03,핀란드
화면내 예측 블록 경계 필터링을 이용한 부호화/복호화 방법 및 그 장치,2012-06-20,2017-05-03,프랑스
화면내 예측 블록 경계 필터링을 이용한 부호화/복호화 방법 및 그 장치,2017-03-23,2019-11-06,프랑스
화면내 예측 블록 경계 필터링을 이용한 부호화/복호화 방법 및 그 장치,2012-06-20,2016-12-21,영국
화면내 예측 블록 경계 필터링을 이용한 부호화/복호화 방법 및 그 장치,2012-06-20,2017-05-03,영국
화면내 예측 블록 경계 필터링을 이용한 부호화/복호화 방법 및 그 장치,2017-03-23,2019-11-06,영국
화면내 예측 블록 경계 필터링을 이용한 부호화/복호화 방법 및 그 장치,2017-03-23,2019-11-06,아일랜드
화면내 예측 블록 경계 필터링을 이용한 부호화/복호화 방법 및 그 장치,2012-06-20,2016-12-21,이탈리아
화면내 예측 블록 경계 필터링을 이용한 부호화/복호화 방법 및 그 장치,2013-08-29,2016-07-29,일본
화면내 예측 블록 경계 필터링을 이용한 부호화/복호화 방법 및 그 장치,2014-03-28,2016-08-05,일본
화면내 예측 블록 경계 필터링을 이용한 부호화/복호화 방법 및 그 장치,2016-08-26,2018-10-26,일본
화면내 예측 블록 경계 필터링을 이용한 부호화/복호화 방법 및 그 장치,2018-02-26,2022-06-29,일본
화면내 예측 블록 경계 필터링을 이용한 부호화/복호화 방법 및 그 장치,2012-06-20,2020-02-26,일본
화면내 예측 블록 경계 필터링을 이용한 부호화/복호화 방법 및 그 장치,2020-02-20,2022-04-04,일본
영상 부호화/복호화 방법 및 그 장치,2012-06-20,2014-01-24,대한민국
영상 부호화/복호화 방법 및 그 장치,2013-09-05,2014-01-24,대한민국
영상 부호화/복호화 방법 및 그 장치,2013-09-05,2014-10-10,대한민국
영상 부호화/복호화 방법 및 그 장치,2013-09-05,2014-10-10,대한민국
영상 부호화/복호화 방법 및 그 장치,2014-05-07,2014-10-10,대한민국
영상 부호화/복호화 방법 및 그 장치,2014-05-07,2014-10-10,대한민국
영상 부호화/복호화 방법 및 그 장치,2014-05-07,2014-10-10,대한민국
영상 부호화/복호화 방법 및 그 장치,2014-05-07,2015-01-26,대한민국
영상 부호화/복호화 방법 및 그 장치,2014-05-07,2014-10-10,대한민국
화면내 예측 블록 경계 필터링을 이용한 부호화/복호화 방법 및 그 장치,2012-06-20,2016-12-21,NETHERLAND
화면내 예측 블록 경계 필터링을 이용한 부호화/복호화 방법 및 그 장치,2012-06-20,2017-05-03,NETHERLAND
"소스 장치, 데스티네이션 장치 및 릴레이 장치의 통신 방법",2011-02-07,2020-02-05,일본
"소스 장치, 데스티네이션 장치 및 릴레이 장치의 통신 방법",2011-02-07,2018-01-22,대한민국
"소스 장치, 데스티네이션 장치 및 릴레이 장치의 통신 방법",2018-01-22,2019-03-27,대한민국
"소스 장치, 데스티네이션 장치 및 릴레이 장치의 통신 방법",2019-03-27,2021-02-22,대한민국
"소스 장치, 데스티네이션 장치 및 릴레이 장치의 통신 방법",2012-10-22,2014-12-09,미국
"소스 장치, 데스티네이션 장치 및 릴레이 장치의 통신 방법",2014-11-21,2017-02-28,미국
예약 기반 매체 접근 제어와 지향성 안테나를 사용하는 릴레이통신방법,2012-10-16,2016-08-24,중국
예약 기반 매체 접근 제어와 지향성 안테나를 사용하는 릴레이통신방법,2012-09-13,2019-11-13,독일
예약 기반 매체 접근 제어와 지향성 안테나를 사용하는 릴레이통신방법,2019-11-12,2021-06-30,독일
예약 기반 매체 접근 제어와 지향성 안테나를 사용하는 릴레이통신방법,2012-09-13,2019-11-13,프랑스
예약 기반 매체 접근 제어와 지향성 안테나를 사용하는 릴레이통신방법,2012-09-13,2019-11-13,영국
예약 기반 매체 접근 제어와 지향성 안테나를 사용하는 릴레이통신방법,2019-11-12,2021-06-30,영국
예약 기반 매체 접근 제어와 지향성 안테나를 사용하는 릴레이통신방법,2012-08-16,2015-02-13,일본
예약 기반 매체 접근 제어와 지향성 안테나를 사용하는 릴레이통신방법,2015-02-05,2016-02-12,일본
광대역 근거리 무선 통신 장치 및 방법,2017-07-28,2018-05-31,대한민국
광대역 근거리 무선 통신 장치 및 방법,2018-05-31,2019-05-15,대한민국
광대역 근거리 무선 통신 장치 및 방법,2020-06-23,2021-05-24,대한민국
예약 기반 매체 접근 제어와 지향성 안테나를 사용하는 릴레이통신방법,2012-08-14,2014-07-29,미국
예약 기반 매체 접근 제어와 지향성 안테나를 사용하는 릴레이통신방법,2020-09-15,2022-08-09,미국
근거리 무선 통신을 이용한 증강현실 기반의 기기 제어 장치 및 그 방법,2010-11-02,2014-09-18,대한민국
무선통신 시스템에서 제어 메시지를 위한 자원할당 방법,2011-03-04,2013-12-31,미국
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2013-01-04,2017-07-04,미국
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2017-11-02,2019-02-19,미국
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2018-12-28,2021-03-02,미국
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2018-12-28,2020-11-03,미국
가시광 무선 통신 송수신 장치 및 방법,2011-06-23,2019-01-08,대한민국
선박장치의 원격유지보수시스템을 위한 메신저 시스템과 방법,2011-12-23,2014-11-11,미국
DOCSIS 데이터 전송을 위한 프레임 구성 방법 및 장치,2011-11-14,2020-07-02,독일
DOCSIS 데이터 전송을 위한 프레임 구성 방법 및 장치,2010-11-25,2017-01-04,대한민국
조명 제어 장치 및 방법,2011-11-04,2015-01-27,미국
"스마트 그리드 환경에서의 에너지 관리 방법 및 시스템, 스마트 그리드 환경에서의 전력 생산 장치",2010-12-23,2017-06-13,대한민국
미디어 ＩＤ 정합 기반의 방송 ＡＲ 광고 서비스 시스템 및 그 방법,2010-12-23,2017-10-30,대한민국
"로그 ＯＮＵ를 검출하는 방법, ＯＬＴ 및 ＰＯＮ 시스템",2010-12-23,2018-01-30,대한민국
"로그 ＯＮＵ를 검출하는 방법, ＯＬＴ 및 ＰＯＮ 시스템",2011-08-26,2014-07-01,미국
"정류기, 이를 이용한 수신 신호 강도 표시기 및 수신기",2012-12-17,2014-10-21,미국
아날로그 위상에러보상기를 장착한 프랙셔널 디지털 PLL,2010-12-23,2017-01-05,대한민국
디지털 아날로그 컨버터 및 디지털 아날로그 컨버터의 전류원 보정 방법,2010-12-23,2015-09-09,대한민국
트래픽 분석 장치,2010-12-22,2015-04-02,대한민국
트래픽 분석 장치,2011-12-21,2014-08-12,미국
다수 패킷 처리 엔진에서의 부하 분산을 위한 패킷 분산 처리 장치 및 방법,2011-12-12,2014-11-11,미국
공평한 대역 할당 기반 패킷 스케줄링 방법 및 장치,2011-11-21,2015-01-06,미국
"영상 부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2018-05-28,2021-07-28,TURKEY
무선 통신 시스템에서 제어 정보를 전송하는 방법,2013-12-17,2019-09-18,스페인
무선 통신 시스템에서 제어 정보를 전송하는 방법,2019-07-08,2022-02-09,스페인
무선 통신 시스템에서 제어 정보를 전송하는 방법,2013-12-17,2019-09-18,프랑스
무선 통신 시스템에서 제어 정보를 전송하는 방법,2019-07-08,2022-02-09,프랑스
무선 통신 시스템에서 제어 정보를 전송하는 방법,2013-12-17,2019-09-18,영국
무선 통신 시스템에서 제어 정보를 전송하는 방법,2019-07-08,2022-02-09,영국
무선 통신 시스템에서 제어 정보를 전송하는 방법,2013-12-17,2019-09-18,이탈리아
무선 통신 시스템에서 제어 정보를 전송하는 방법,2019-07-08,2022-02-09,이탈리아
무선 통신 시스템에서 제어 정보를 전송하는 방법,2013-12-06,2015-04-03,일본
이동 통신 시스템의 제어 정보 전송 및 수신 방법,2012-06-07,2019-10-29,대한민국
무선 통신 시스템에서 제어 정보를 전송하는 방법,2013-12-17,2019-09-18,NETHERLAND
무선 통신 시스템에서 제어 정보를 전송하는 방법,2019-07-08,2022-02-09,NETHERLAND
무선 통신 시스템에서 제어 정보를 전송하는 방법,2019-07-08,2022-02-09,폴란드
무선 통신 시스템에서 제어 정보를 전송하는 방법,2016-10-08,2017-12-05,미국
무선 통신 시스템에서 제어 정보를 전송하는 방법,2019-10-22,2022-01-11,미국
Ｐ２Ｐ 네트워크에서 데이터 교환 방법,2011-08-24,2018-01-15,대한민국
필터 제조 방법 및 이에 의해 제조된 필터,2018-06-29,2018-10-02,대한민국
필터 제조 방법 및 이에 의해 제조된 필터,2012-09-13,2016-03-22,미국
짧은 서명을 제공하는 경량 그룹서명 방법 및 장치,2011-10-11,2015-08-05,대한민국
ＯＦＤＭ 변조를 사용하는 이동 통신 시스템에서 광 중계기의 중계 방식,2012-06-28,2014-07-15,미국
가상 데스크탑 서비스를 위한 방법 및 아키텍처,2011-07-01,2015-03-26,대한민국
클라우드 스토리지의 저장장치를 관리하기 위한 방법 및 메타데이터 서버,2011-12-15,2017-01-03,대한민국
차량 정보 전송 장치,2012-07-31,2015-01-27,미국
전자파 잔향실,2011-08-22,2018-01-31,대한민국
원거리 사람 식별을 위한 다중 카메라 기반 최적의 얼굴영상 획득 방법 및 그 장치,2012-11-02,2015-05-19,미국
무선랜 시스템에서의 프레임 스케쥴링 방법 및 장치,2013-06-13,2016-02-02,미국
무선랜에서의 채널 접근 방법 및 장치,2012-06-13,2017-03-28,대한민국
무선랜에서의 채널 접근 방법 및 장치,2013-06-13,2015-12-01,미국
해상 무선 통신 방법 및 장치,2013-06-13,2016-03-01,미국
다중 무선 인터페이스를 이용한 통신 방법,2011-12-16,2018-05-14,대한민국
사용자 간 위치 정보를 공유하기 위한 휴대용 단말기 및 방법,2012-04-26,2018-05-16,대한민국
디지털 홀로그래픽 콘텐츠 제작 시스템,2011-12-27,2018-05-14,대한민국
디지털 홀로그래픽 콘텐츠 제작을 위한 프로세스 매니지먼트 파이프라인 운용 방법,2012-12-14,2015-12-29,미국
절차적 방법에 의해 생성된 지형 데이터를 편집하는 방법,2012-01-03,2017-07-27,대한민국
사용자 맞춤형 가상 네트워크 및 그것의 구축 방법,2011-12-23,2018-10-08,대한민국
사용자 맞춤형 가상 네트워크 및 그것의 구축 방법,2012-09-14,2014-10-28,미국
멀티서비스를 위한 홈 클라우드 게이트웨이 장치 및 서비스 제공 방법,2012-06-27,2017-05-23,대한민국
멀티서비스를 위한 홈 클라우드 게이트웨이 장치 및 서비스 제공 방법,2017-05-18,2018-02-26,대한민국
멀티 서비스 가상 컴퓨터 장치 및 방법,2013-01-29,2015-04-21,미국
임베디드 시스템에 탑재된 적응형 테일 길이를 갖는 광대역 어커스틱 에코 제거 장치의 구조,2012-12-20,2015-05-26,미국
초고속 선박 추적 방법,2011-11-11,2017-04-04,대한민국
조명 제어 방법 및 이를 이용한 조명 관리 시스템,2012-05-30,2019-06-19,대한민국
조명 제어 방법 및 이를 이용한 조명 관리 시스템,2013-01-11,2014-09-23,미국
"이동 통신 시스템에서의 영상 제공 장치 및 그 방법, 그리고, 휴대용 디스플레이 장치 및 그의 영상 디스플레이 방법",2010-11-08,2014-07-29,대한민국
모바일 IPTV 시스템에서 3D 영상전송 및 선택 방법,2011-11-04,2015-09-29,미국
가상현실 기반 훈련 시뮬레이터를 위한 가변형 플랫폼 관리 장치,2010-11-16,2014-04-23,대한민국
이종장치 및 시스템에 대한 원격 유지보수 및 모니터링 서비스 프레임워크,2010-09-17,2014-03-18,대한민국
소셜 네트워크 서비스를 이용한 구매 내역 기반 맞춤형 서비스 제공 방법,2011-12-22,2014-07-08,미국
하이브리드 펨토셀의 수락제어 방법,2010-09-15,2014-07-10,대한민국
하이브리드 펨토셀의 수락제어 방법,2011-09-15,2014-05-27,미국
멀티미디어 브로드캐스트 및 멀티캐스트 서비스 카운팅 방법 및 장치,2010-12-21,2017-05-25,대한민국
무선 에너지 전송을 위한 자기 공명체 주변의 전기장 및 복사전력 저감 방법,2010-12-21,2013-06-18,미국
단일 전송 채널을 통한 다중화된 패킷 스트림의 송수신 방법 및 장치,2011-07-13,2014-10-30,대한민국
단일 전송 채널을 통한 다중화된 패킷 스트림의 송수신 방법 및 장치,2011-07-13,2014-07-08,미국
버스트 모드 클럭 및 데이터 복원 장치 및 방법,2011-08-18,2013-08-01,대한민국
캐리어 에그리게이션 환경에서 핸드오버 방법 및 절차,2012-12-31,2018-05-29,중국
캐리어 에그리게이션 환경에서 핸드오버 방법 및 절차,2018-05-02,2021-07-20,중국
캐리어 에그리게이션 환경에서 핸드오버 방법 및 절차,2012-11-28,2021-08-25,독일
캐리어 에그리게이션 환경에서 핸드오버 방법 및 절차,2012-11-28,2021-08-25,프랑스
캐리어 에그리게이션 환경에서 핸드오버 방법 및 절차,2012-11-28,2021-08-25,영국
캐리어 에그리게이션 환경에서 핸드오버 방법 및 절차,2012-11-28,2021-08-25,이탈리아
캐리어 에그리게이션에 기반한 핸드오버 방법,2011-04-22,2015-01-20,대한민국
캐리어 에그리게이션 환경에서 핸드오버 방법 및 절차,2012-11-28,2021-08-25,폴란드
캐리어 에그리게이션 환경에서 핸드오버 방법 및 절차,2015-04-17,2018-03-06,미국
캐리어 에그리게이션 환경에서 핸드오버 방법 및 절차,2018-03-05,2019-11-19,미국
제어 채널의 간섭을 관리하는 시스템,2011-06-28,2018-03-22,대한민국
주파수 가변형 테라헤르츠 트랜시버용 dual wavelength laser 기술,2014-02-10,2016-01-12,미국
무선 메쉬 네트워크에서의 협력적 무선 펌웨어 업데이트 장치 및 방법,2010-10-25,2014-04-03,대한민국
다시점 영상 생성 방법 및 장치,2011-12-08,2014-05-20,미국
다시점 영상 콘텐츠 생성의 병렬처리 방법 및 그 장치,2011-12-16,2015-09-01,미국
아발란치 포토다이오드의 제조방법,2010-12-20,2017-01-06,대한민국
아발란치 포토 다이오드의 제조방법,2011-10-14,2013-11-26,미국
다이내믹 레인지 삼차원 영상 시스템,2011-12-22,2015-10-27,미국
다중 분포 귀환 레이저 소자,2010-12-09,2017-07-04,대한민국
다중 분포 귀환 레이저 소자,2010-12-29,2012-04-03,미국
테라헤르츠파 발생기,2011-09-06,2013-12-03,미국
전계효과 트랜지스터 및 그 제조 방법,2010-12-17,2017-08-31,대한민국
분산화를 통한 확장성 있는 중앙 집중식 네트워크 구조 및 제어 방법과 이를 위한 네트워크 스위칭 장치,2010-09-28,2012-05-04,대한민국
광 터치 스크린 패널,2010-12-14,2017-04-10,대한민국
반도체 소자 및 이의 제조방법,2010-12-14,2015-12-30,대한민국
반도체 소자 및 이의 제조방법,2011-10-16,2013-12-17,미국
ＡＭＩ 네트워크에서의 전력기기 관리 장치 및 방법,2010-12-15,2017-06-15,대한민국
디바이스 제어를 위한 제스처/음향 융합 인식 시스템 및 방법,2011-12-21,2014-07-29,미국
상반신 검출장치 및 검출방법,2010-12-21,2019-04-19,대한민국
심리스 위치 측위 시스템 및 방법,2010-12-17,2018-05-04,대한민국
반도체 포토멀티플라이어의 상부 광학 구조 및 그 제작 방법,2011-12-13,2014-10-14,미국
다이렉트 메모리 액세스 컨트롤러 및 그것의 동작 방법,2010-12-15,2017-02-07,대한민국
"깊이감 조절 방법과 장치, 이를 구비하는 단말기 및 그 동작 방법",2010-12-21,2017-09-06,대한민국
다이렉트 메모리 액세스 컨트롤러 및 그것의 동작 방법,2011-09-23,2014-08-05,미국
바이어스 회로 및 그것을 포함하는 아날로그 집적회로,2010-12-15,2016-12-05,대한민국
영상 정합 장치 및 그것의 영상 정합 방법,2011-08-17,2014-04-08,미국
다중-루프를 갖는 위상 고정 루프 회로,2010-12-09,2017-03-21,대한민국
차량 내부 네트워크 및 영상 센서를 이용한 차량 위치 인식 장치 및 그 방법,2011-12-22,2018-11-12,대한민국
차량의 자율주행 장치 및 그 방법,2012-02-09,2017-01-31,대한민국
미세 밝기 조절을 지원하는 가시광 무선 통신 장치 및 이를 이용한 가시광 무선 통신 방법,2011-09-15,2018-09-18,대한민국
미세 밝기 조절을 지원하는 가시광 무선 통신 장치 및 이를 이용한 가시광 무선 통신 방법,2012-03-22,2014-12-16,미국
운영체제 커널의 자동 반가상화 장치 및 방법,2012-08-29,2015-10-20,미국
시간정보와 시각적 인지정보를 결합한 동적 다차원 코드 생성 장치와 인식 장치 및 그 방법,2012-06-26,2015-07-21,미국
"감성기반 안전운전 자동차 서비스 시스템, 안전운전 서비스를 위한 감성인지 처리 장치 및 안전운전 서비스 장치, 감성기반 차량용 안전운전 서비스 방법",2011-08-29,2018-09-17,대한민국
감성인지기반 안전운전 자동차 시스템 및 그 제어 방법,2012-08-24,2014-10-14,미국
양방향 자동 통역 및 번역 서비스 제공 장치 및 그 방법,2012-05-02,2017-01-03,대한민국
양방향 자동 통역 및 번역 서비스 제공 장치 및 그 방법,2013-04-16,2015-06-16,미국
채널 정규화 장치 및 방법,2011-10-19,2014-08-08,대한민국
내부자 위협 탐지 장치 및 방법,2012-05-18,2015-02-24,미국
촉각 피드백을 제공하기 위한 전자기기용 케이스 및 그 구동 방법,2011-10-10,2016-03-07,대한민국
귀마개 형태의 유기체 모니터링 장치,2011-08-19,2017-08-07,대한민국
파장 자동 인식 장치 및 방법,2012-06-29,2015-08-11,미국
파장 분할 다중화 방식 수동형 광통신 네트워크 시스템을 위한 링크 설정 방법,2012-06-29,2015-08-04,미국
터치 스크린 패널,2012-07-11,2015-09-30,중국
터치 스크린 패널,2012-07-11,2016-10-21,일본
터치 스크린 패널,2012-06-07,2015-11-16,대한민국
터치 스크린 패널,2012-07-11,2015-04-28,미국
온라인 게임 패킷 분석 시스템 및 방법,2012-10-05,2016-06-21,미국
감성 어휘 정보 구축 방법 및 장치,2012-08-23,2017-05-16,미국
OFDMA-PON 시스템에서 OFDM 광모뎀의 변조 방법 최적화,2012-12-28,2015-09-08,미국
하이브리드 수동형 광가입자망 시스템,2011-12-30,2019-05-14,대한민국
"랜덤 지터 빔포밍 방법, 이를 이용한 송신기 및 수신기",2012-10-22,2019-03-14,독일
근거리 무선 통신 방식을 이용한 위치 정보 획득 및 처리 방법과 그 장치,2012-11-21,2015-03-31,미국
시간기반 정책을 통한 트래픽 제어 방법,2012-04-18,2019-07-31,대한민국
시간기반 정책을 통한 트래픽 제어 방법,2012-10-04,2016-04-12,미국
"유무기 하이브리드 폴리아믹 에스테르, 이의 제조 방법 및 이의 필름 제조 방법",2011-12-14,2017-04-17,대한민국
셀룰러 이동통신 시스템에서 단말기의 위치 결정 방법,2012-09-28,2019-04-24,대한민국
버스 브리지 장치,2011-12-21,2017-03-21,대한민국
영상 정합 장치 및 방법,2012-08-13,2014-06-17,미국
홈 환경의 물리적 공간정보 관리 시스템 및 방법,2011-12-16,2019-07-12,대한민국
ＡＲＩＮＣ 653 규격에 따른 항공 시스템 설정 방법 및 장치,2013-02-13,2015-05-12,미국
질의 기반 소프트웨어 논리의 동적 변경 및 실행을 위한 멀티테넌트 지원 장치 및 방법,2011-12-15,2018-09-19,대한민국
싸이클릭 쉬프트 생성방법,2011-12-14,2019-01-18,대한민국
전력 제어장치,2011-12-14,2018-05-21,대한민국
저전력 옥외 광역 통신을 위한 코드분할다중화 정진폭 부호화 장치 및 방법,2012-12-03,2019-06-13,대한민국
영상 분할을 이용한 영상 처리 방법 및 장치,2012-09-03,2016-05-25,대한민국
영상 분할을 이용한 영상 처리 방법 및 장치,2012-10-18,2015-02-17,미국
로봇을 이용한 객체추적 시스템 및 그 추적방법,2011-12-19,2018-06-12,대한민국
부품을 인식하기 위한 장치 및 그 방법,2011-12-21,2018-09-18,대한민국
행동 패턴 수집 장치 및 이를 이용한 행동 패턴 분석 시스템과 그 방법,2012-01-06,2018-06-05,대한민국
행동 패턴 수집 장치 및 이를 이용한 행동 패턴 분석 시스템과 그 방법,2012-08-15,2015-07-21,미국
가버 특징과 ＳＶＭ 분류기를 이용하여 위변조 얼굴을 인식하기 위한 시스템 및 그 방법,2011-12-21,2018-07-06,대한민국
무선 메쉬 네트워크에서의 협력적 무선 펌웨어 업데이트 방법,2011-10-25,2014-07-29,미국
패킷 손실에 강인한 애드혹 멀티미디어 그룹통신 단말 및 그 동작방법,2010-11-12,2014-09-16,대한민국
패킷 손실에 강인한 애드혹 멀티미디어 그룹통신 단말 및 그 동작방법,2011-11-07,2014-08-05,미국
가시광 무선 통신을 이용한 데이터 통신 장치 및 방법,2010-08-02,2017-06-14,대한민국
다계층 네트워크에서의 계층간 경로 설정 방법 및 시스템,2011-10-18,2015-09-08,미국
아날로그 디지털 변환 장치,2010-12-30,2013-01-29,미국
자동 주파수 제어 회로를 포함하는 위상 고정 루프 회로 및 그것의 동작 방법,2010-12-22,2013-01-08,미국
"비동기식 파이프라인 시스템, 스테이지 및 데이터 전송 방법",2010-10-22,2014-10-20,대한민국
"비동기식 파이프라인 시스템, 스테이지 및 데이터 전송 방법",2011-10-21,2016-04-19,미국
송신 제어 프로토콜 플러딩 공격 방어 방법 및 장치,2011-11-02,2014-03-04,미국
"리소스 연동 모바일 단말, 모바일 단말 내 리소스 연동 방법 및 웹서버와 단말 간의 리소스 연동 방법",2010-08-27,2013-10-04,대한민국
